Generation,Best,Worst,Average
227,43,8,31.229166666666668
228,46,12,31.208333333333332
229,45,9,30.5
230,44,8,32.6875
231,43,12,31.895833333333332
232,47,12,30.208333333333332
233,44,14,31.75
234,44,4,30.0
235,43,5,28.854166666666668
236,45,8,29.520833333333332
237,46,6,29.333333333333332
238,44,8,30.520833333333332
239,45,7,28.541666666666668
240,44,5,30.270833333333332
241,39,7,27.229166666666668
242,39,9,26.875
243,48,9,29.770833333333332
244,42,9,30.0
245,43,6,30.458333333333332
246,44,11,29.375
247,46,0,27.104166666666668
248,41,8,29.625
249,49,6,28.020833333333332
250,40,5,28.208333333333332
251,45,5,28.916666666666668
252,40,15,28.479166666666668
253,41,11,32.270833333333336
254,44,12,30.75
255,42,9,31.520833333333332
256,48,4,31.333333333333332
257,49,7,29.604166666666668
258,44,8,29.25
259,43,13,30.8125
260,43,14,30.8125
261,43,7,30.25
262,44,6,30.625
263,45,6,30.666666666666668
264,48,7,28.979166666666668
265,45,7,29.5
266,43,9,31.479166666666668
267,43,15,30.875
268,44,5,29.4375
269,41,12,32.395833333333336
270,43,9,30.729166666666668
271,42,7,29.916666666666668
272,40,9,29.645833333333332
273,45,10,29.916666666666668
274,43,13,31.333333333333332
275,43,6,30.4375
276,44,9,29.979166666666668
277,42,9,29.3125
278,48,12,30.583333333333332
279,46,17,30.375
280,48,14,30.8125
281,40,18,30.854166666666668
282,49,15,32.270833333333336
283,43,11,29.604166666666668
284,45,4,30.583333333333332
285,42,13,31.083333333333332
286,42,7,31.3125
287,41,16,31.333333333333332
288,42,6,30.25
289,45,9,31.479166666666668
290,41,8,28.75
291,44,8,32.125
292,41,9,31.166666666666668
293,43,7,29.875
294,47,8,31.354166666666668
295,42,8,29.895833333333332
296,44,16,33.458333333333336
297,41,11,31.270833333333332
298,48,9,30.8125
299,42,11,32.1875
300,46,8,31.395833333333332
301,42,18,32.25
302,48,21,32.583333333333336
303,44,7,31.0625
304,45,8,33.145833333333336
305,45,12,31.75
306,44,17,33.208333333333336
307,42,8,31.083333333333332
308,43,7,29.583333333333332
309,43,11,31.854166666666668
310,43,13,30.875
311,40,9,30.0
312,44,9,29.083333333333332
313,39,13,29.5625
314,43,6,30.979166666666668
315,44,8,30.0625
316,42,17,31.4375
317,47,14,29.916666666666668
318,43,11,29.854166666666668
319,43,18,31.6875
320,46,4,30.791666666666668
321,44,8,28.25
322,44,6,30.375
323,44,8,29.583333333333332
324,44,11,33.333333333333336
325,46,9,30.729166666666668
326,44,7,30.3125
327,44,10,29.916666666666668
328,42,10,29.541666666666668
329,43,8,29.979166666666668
330,48,6,31.145833333333332
331,44,8,32.416666666666664
332,42,7,30.875
333,43,6,30.895833333333332
334,44,9,31.895833333333332
335,44,14,30.395833333333332
336,43,11,30.604166666666668
337,46,14,30.833333333333332
338,42,11,30.791666666666668
339,42,12,28.979166666666668
340,40,12,31.5
341,42,8,29.541666666666668
342,47,10,33.166666666666664
343,43,17,32.125
344,47,17,31.625
345,47,9,31.604166666666668
346,43,6,30.645833333333332
347,41,10,30.666666666666668
348,45,7,30.625
349,43,13,31.354166666666668
350,43,11,32.229166666666664
351,43,8,31.5
352,40,14,30.833333333333332
353,42,20,32.770833333333336
354,43,13,31.8125
355,47,7,31.145833333333332
356,43,10,32.1875
357,44,14,31.291666666666668
358,46,12,30.708333333333332
359,45,16,32.416666666666664
360,43,7,29.479166666666668
361,39,8,31.270833333333332
362,44,7,30.354166666666668
363,43,21,32.541666666666664
364,43,4,31.25
365,41,14,31.125
366,49,7,29.6875
367,46,8,30.916666666666668
368,42,11,31.0625
369,42,4,29.9375
370,43,10,31.0
371,41,9,31.229166666666668
372,44,8,29.0
373,46,10,29.5
374,42,8,30.541666666666668
375,45,10,30.729166666666668
376,43,12,30.270833333333332
377,45,5,30.75
378,40,10,31.166666666666668
379,44,12,29.958333333333332
380,42,12,30.645833333333332
381,47,4,28.0
382,42,10,28.166666666666668
383,41,9,30.479166666666668
384,42,8,30.458333333333332
385,42,11,31.270833333333332
386,45,17,31.854166666666668
387,46,8,31.541666666666668
388,42,18,32.166666666666664
389,43,8,29.916666666666668
390,42,13,32.166666666666664
391,46,5,30.333333333333332
392,44,9,32.645833333333336
393,44,20,31.645833333333332
394,41,7,28.791666666666668
395,47,9,31.125
396,45,15,30.645833333333332
397,42,9,30.6875
398,40,17,30.354166666666668
399,43,18,32.229166666666664
400,44,11,31.583333333333332
401,44,19,31.208333333333332
402,45,12,30.854166666666668
403,41,11,30.4375
404,44,16,29.6875
405,42,12,32.3125
406,43,9,32.895833333333336
407,44,13,31.479166666666668
408,46,12,31.041666666666668
409,44,13,30.854166666666668
410,43,10,31.6875
411,45,12,31.416666666666668
412,44,16,31.458333333333332
413,46,9,29.708333333333332
414,41,8,27.895833333333332
415,43,11,30.833333333333332
416,42,10,30.666666666666668
417,43,13,33.125
418,43,16,32.625
419,43,13,32.25
420,44,14,30.729166666666668
