Generation,Best,Worst,Average
1236,41,24,32.5625
1237,37,16,31.625
1238,45,14,32.0
1239,40,16,30.6875
1240,40,27,32.5
1241,41,29,34.625
1242,43,21,34.5
1243,44,14,34.75
1244,39,15,32.5625
1245,43,18,31.4375
1246,40,24,31.625
1247,47,18,32.1875
1248,37,23,32.1875
1249,41,23,30.25
1250,41,17,32.0625
1251,42,13,31.4375
1252,44,26,33.0
1253,42,26,31.4375
1254,39,27,32.3125
1255,41,24,32.1875
1256,45,25,34.625
1257,37,12,30.4375
1258,40,28,33.9375
1259,46,14,33.8125
1260,41,26,33.625
1261,40,31,35.0
1262,41,15,32.875
1263,45,24,33.4375
1264,39,21,31.6875
1265,40,18,30.125
1266,40,19,29.75
1267,36,22,29.5625
1268,41,30,34.5
1269,38,26,32.9375
1270,43,20,33.3125
1271,44,18,33.375
1272,44,24,32.8125
1273,45,21,33.0
1274,43,15,32.125
1275,37,10,28.5625
1276,41,18,30.875
1277,40,12,31.0625
1278,39,24,32.6875
1279,41,25,31.9375
1280,43,17,32.0625
1281,41,22,31.5
1282,44,25,34.1875
1283,49,22,31.3125
1284,45,27,32.75
1285,40,24,31.9375
1286,39,21,31.5
1287,42,25,36.4375
1288,50,26,34.125
1289,45,21,34.25
1290,37,15,31.1875
1291,46,24,35.5
1292,41,15,32.1875
1293,42,14,33.5625
1294,40,26,32.75
